Wavelength,LII,Z-Wavelength,Z-LII,,Z-LII2,Z-LII3
836.077136,27.5755758,4.205153465,4.355381966,,-0.74680531,0.336760402
881.0937789,25.8394329,7.570272446,2.578551054,,0.867358744,1.23302722
961.1844732,9.7829988,2.621837139,3.712451458,,1.95374918,0.981523573
953.2045086,2.33374191,14.47007179,0.191278338,,-0.017201185,1.317594051
882.5887459,1.455637713,4.576372147,-1.489637256,,1.910766006,3.042512178
973.8334288,1.537044,2.069919109,0.192550421,,1.238735914,-2.207660675
896.0209736,15.6314295,4.901641369,-2.129854202,,4.4952631,1.309108019
866.1931758,6.78606051,1.507704973,1.630712867,,4.81349802,-0.649836183
914.8504469,4.052919525,-0.684377849,0.015292764,,2.676272154,2.492765427
906.6185595,6.37210041,-0.584105492,-0.272069693,,-2.703841686,1.903549075
866.412907,3.960698595,1.873870134,-0.74680531,,-1.726602674,1.002095699
886.9386533,4.43815023,6.33833313,0.867358744,,1.152266502,3.645035744
905.5456478,13.82324505,1.649252892,1.95374918,,0.721751571,2.534879208
823.7693129,2.514275656,-1.096954465,-0.017201185,,-0.201361418,-1.769050479
819.9054196,7.60225071,2.197694302,1.910766006,,-1.562128425,-2.556229115
912.2207744,21.21833475,2.170410156,1.238735914,,1.266422868,-0.477697253
898.8322777,92.5235565,5.254763603,4.4952631,,-1.081096053,4.909253597
884.924739,0.686724119,4.149711609,-3.249518871,,1.054923892,3.505433083
802.3396817,356.8564665,6.034303665,4.81349802,,3.508416653,0.574289083
900.1103585,35.2724961,1.504411697,2.676272154,,5.277910233,8.360333443
976.6875835,1.46037081,0.559454381,-2.703841686,,0.713204741,-0.357098699
809.2233527,1.232583837,3.377609968,-1.726602674,,2.559556246,1.235155582
864.4929271,11.63668035,3.635176659,1.152266502,,-0.050328135,-0.333842158
921.5066342,2.31884691,9.411117554,0.721751571,,-1.326427341,-1.293568969
866.09081,3.038938965,3.951409817,-0.201361418,,4.84743309,-1.631478667
816.4359783,2.258071845,3.801706791,-1.562128425,,2.584830999,2.399722576
